1,ANDROMEDA,And,0.776391616446727,0.166656552950775,0.607817119921612,-0.616542304535736,0.000785190086987132,0.78732138939209,0.130735016843237,-0.986014694025953,0.103360430223107,69D8FF
2,ANTLIA,Ant,-0.758866719082403,0.368363131139094,-0.537056706769883,-0.577917122110958,-0.000740330601590212,0.816095124284901,0.300221755774123,0.929681695812068,0.213445172894352,00B050
3,APUS,Aps,-0.118496204786964,-0.224391942571455,-0.967267752775877,-0.992557503850095,-0.000776019564940767,0.121774378850818,-0.0280758081264578,0.974498667984027,-0.222629951029512,69D8FF
4,AQUARIUS,Aqr,0.885482680108286,-0.425297821462308,-0.187195582981174,0.207165017243949,0.000720718243784354,0.978305747808694,-0.415936387995281,-0.905053171711269,0.0887450140391621,69D8FF
5,AQUILA,Aql,0.421948582877691,-0.904665531815876,0.0594951170417148,-0.138906395048493,0.000339332626514588,0.99030545705252,-0.895915401598912,-0.426122236450608,-0.125520646828289,BCB48A
6,ARA,Ara,-0.0897222156797287,-0.543291948669468,-0.834735756107555,-0.994226429754802,-0.000668551184257911,0.107300323467978,-0.0588534654080701,0.839543573348189,-0.540095230546628,FFFF00
7,ARIES,Ari,0.720955809919385,0.595155938409118,0.354981871536908,-0.442158937877791,0.000639936294742656,0.896936488351501,0.533589911634645,-0.803609979690335,0.263614883388309,FF0000
8,AURIGA,Aur,-0.014325011811687,0.742679598279571,0.669493695516164,0.999758198901922,-0.000533257739165425,0.0219831609321681,0.0166834578244742,0.669646720245443,-0.742492378613774,5DB3CB
9,BOOTES,Boo,-0.648851972238811,-0.557313097720438,0.518066819272432,0.624296165171604,-0.00066119199620801,0.781187468522872,-0.435023466348465,0.83030215821374,0.348357445437545,5DB3CB
10,CAELUM,Cae,0.26259058150586,0.744318516866352,-0.614032679874848,0.919218415857106,0.000531806715571403,0.393747661746416,0.293400222313424,-0.667824574743616,-0.684051640532308,00B050
11,CAMELOPARDALIS,Cam,-0.239452680908412,0.258200927831762,0.935945882234968,0.968745304671423,-0.000769324258124162,0.248056329927817,0.0647684204133989,0.966090932059194,-0.249946719742729,00B050
12,CANCER,Cnc,-0.601487544657849,0.723466965610875,0.338833710382047,0.4903058785773,-0.00054975131215004,0.871550252828853,0.630724091068364,0.69035878168043,-0.354389437628575,69D8FF
13,CANES VENATICI,CVn,-0.732485553562236,-0.220313713695197,0.644148105159407,0.660505648512148,-0.000776760221624479,0.750820674280554,-0.164915742444958,0.975428759162548,0.146087417981287,BCB48A
14,CANIS MAJOR,CMa,-0.199454093989347,0.904534269177133,-0.376876399201486,-0.884191187306975,-0.000339554452635773,0.467125067826011,0.422402661780878,0.426400798060889,0.799848954949287,BCB48A
15,CANIS MINOR,CMi,-0.416697722583627,0.902126609298569,0.111940112511494,0.258744201923623,-0.000343592211605802,0.965945816241936,0.871443885723301,0.431471276842224,-0.233276855464948,FF66FF
16,CAPRICORNUS,Cap,0.680951374125805,-0.663758939002291,-0.309401514170067,0.414149029422304,0.000595609831530221,0.910208891781163,-0.603975005695386,-0.747946332395234,0.2753007016914,FFFF00
17,CARINA,Car,-0.29217717749952,0.343003681700546,-0.892737907388436,-0.950479142061758,-0.000748016801458803,0.310787453054992,0.105933457670172,0.939333761136442,0.326236398544532,F79D53
18,CASSIOPEIA,Cas,0.439074202684055,0.157989879505508,0.884450701006674,-0.895755697617197,0.000786325429658063,0.444545961491775,0.0695382968132653,-0.98744041828667,0.141865589943991,9E5ECE
19,CENTAURUS,Cen,-0.651109279428409,-0.187533003197753,-0.735450935789634,-0.748635532748717,-0.000782198523072209,0.662981317437765,-0.124906146158874,0.982257990996817,-0.139884573040189,9E5ECE
20,CEPHEUS,Cep,0.255880177830154,0.201068744254596,0.945566864202362,-0.965322181239306,0.00078006343647016,0.261060295541899,0.0517534636618414,-0.979576822707089,0.194295721553737,F79D53
21,CETUS,Cet,0.899019151330607,0.419697179957805,-0.124975368278156,0.137357916867996,0.000722797236823224,0.990521216450127,0.415809293083355,-0.907663899634452,-0.0569989217959435,5DB3CB
22,CHAMAELEON,Cha,-0.176424011256651,0.0628824893058026,-0.982303599092876,-0.984260033772864,-0.000794750730741543,0.176724515245388,0.0103321909368022,0.998020621485339,0.0620329341597176,00B050
23,CIRCINUS,Cir,-0.354261261308711,-0.283157536430718,-0.891246749390116,-0.929195382492941,-0.000763735775511905,0.369588092153226,-0.105332330695555,0.959073107886021,-0.262838113370361,FF66FF
24,COLUMBA,Col,0.02941122397731,0.817676130858034,-0.574926712659267,0.998660487130883,0.000458428173028045,0.0517399389941432,0.0425700757300712,-0.57567832586319,-0.816567360224306,FFFF00
25,COMA BERENICES,Com,-0.898941507667382,-0.188085232788294,0.395636336803974,0.402962643661571,-0.000782114436767725,0.915216092576111,-0.171829198933047,0.982152398308929,0.0764943977690294,FFFF00
26,CORONA AUSTRALIS,CrA,0.126843173673382,-0.74225813673252,-0.657999747527939,0.982033580464452,0.000533629728213325,0.18870549032681,-0.139717057414737,-0.670113851292212,0.728990102932602,00B050
27,CORONA BOREALIS,CrB,-0.450693714768691,-0.711482737608285,0.539135872998095,0.767594007104232,-0.000559581626368596,0.6409361334221,-0.455713304310579,0.702703352029734,0.546382085468136,FF0000
28,CORVUS,Crv,-0.942329511452964,-0.109531282782882,-0.316256209325215,-0.318087739454468,-0.000791535490833877,0.948060949243409,-0.104092659940865,0.993983033840871,-0.0340946708875798,69D8FF
